City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mataura,-46.19,168.86,55.63,62,0,0.56,NZ,1589678211
Hirara,24.8,125.28,82.4,88,75,12.75,JP,1589678212
Chokurdakh,70.63,147.92,28.71,97,0,9.48,RU,1589678025
Hobart,-42.88,147.33,57.7,58,20,4.7,AU,1589677957
Avarua,-21.21,-159.78,84.2,66,40,16.11,CK,1589678212
Husavik,66.04,-17.34,37.4,74,90,8.05,IS,1589678045
Qaanaaq,77.48,-69.36,25.18,91,0,1.3,GL,1589678013
Nouakchott,18.09,-15.98,73.4,60,0,12.75,MR,1589678155
Grindavik,63.84,-22.43,41.0,65,0,18.34,IS,1589678213
Port-Gentil,-0.72,8.78,82.29,83,100,8.03,GA,1589678214
Lipin Bor,60.26,37.98,39.63,94,100,9.6,RU,1589678214
Hithadhoo,-0.6,73.08,85.15,77,100,20.62,MV,1589678214
Vilhena,-12.74,-60.15,67.96,91,100,2.21,BR,1589678214
Ancud,-41.87,-73.82,52.83,93,75,6.93,CL,1589678215
Ahipara,-35.17,173.17,64.24,65,100,7.45,NZ,1589678215
Zmeinogorsk,51.16,82.19,62.67,58,20,1.97,RU,1589678215
Lorengau,-2.02,147.27,86.18,73,21,11.01,PG,1589678030
Butaritari,3.07,172.79,83.88,77,5,14.29,KI,1589678042
Lavrentiya,65.58,-171.0,32.0,96,1,8.12,RU,1589678049
Vaini,-21.2,-175.2,78.8,74,75,6.93,TO,1589678022
Salalah,17.02,54.09,84.2,83,57,2.24,OM,1589678216
Ust'-Kut,56.79,105.77,52.72,42,100,1.63,RU,1589678216
Karratha,-20.74,116.85,72.88,20,100,18.88,AU,1589678217
Cape Town,-33.93,18.42,44.6,93,7,3.36,ZA,1589678048
Kailua,21.4,-157.74,81.95,58,40,11.41,US,1589678088
Kapaa,22.08,-159.32,80.26,74,40,11.41,US,1589678217
Comodoro Rivadavia,-45.87,-67.5,57.2,47,0,33.33,AR,1589678218
Port Alfred,-33.59,26.89,55.99,68,70,1.01,ZA,1589678218
Marystown,47.17,-55.15,39.49,79,100,3.94,CA,1589678219
Hermanus,-34.42,19.23,55.0,81,0,1.01,ZA,1589678219
Bethel,41.37,-73.41,62.69,55,1,4.7,US,1589678219
Jamestown,42.1,-79.24,60.35,51,1,6.93,US,1589678023
Bredasdorp,-34.53,20.04,39.2,86,14,3.36,ZA,1589678063
Hilo,19.73,-155.09,76.75,54,90,11.41,US,1589678015
Antigonish,45.62,-62.0,37.89,80,0,1.01,CA,1589678220
Nikolskoye,59.7,30.79,38.34,80,75,8.95,RU,1589678220
Ndungu,-4.37,38.05,66.78,82,28,3.15,TZ,1589678220
Saint Paul Harbor,57.79,-152.41,51.8,76,40,8.05,US,1589678221
Diamantino,-14.41,-56.45,68.45,79,100,3.6,BR,1589678221
Bluff,-46.6,168.33,53.13,77,22,8.79,NZ,1589678221
Kavieng,-2.57,150.8,86.23,64,10,7.36,PG,1589678041
Tsabong,-26.02,22.4,60.31,30,0,6.44,BW,1589678222
South Hadley,42.26,-72.57,60.28,77,75,3.36,US,1589678222
Cidreira,-30.18,-50.21,61.83,70,0,11.72,BR,1589678222
Pokhvistnevo,53.65,52.13,41.77,78,51,5.3,RU,1589678222
Kopychyntsi,49.1,25.91,50.0,63,86,1.01,UA,1589678223
Itapicuru,-11.32,-38.23,70.03,90,0,4.72,BR,1589678223
Mar del Plata,-38.0,-57.56,61.59,72,13,6.93,AR,1589678223
Santa Lucía,27.91,-15.54,66.09,68,40,18.34,ES,1589678224
Cabo San Lucas,22.89,-109.91,83.59,24,5,6.93,MX,1589678024
Hong Kong,22.29,114.16,84.54,74,4,3.69,HK,1589678092
San Cristobal,7.77,-72.22,67.68,85,100,3.2,VE,1589678098
Bengkulu,-3.8,102.27,81.28,76,100,3.8,ID,1589678054
Lompoc,34.64,-120.46,63.28,63,1,13.87,US,1589678075
Puerto Ayora,-0.74,-90.35,75.99,90,84,1.99,EC,1589678014
Esperance,-33.87,121.9,55.4,76,90,8.05,AU,1589678226
Jiblah,13.92,44.15,65.35,56,0,3.2,YE,1589678226
San Patricio,19.22,-104.7,80.6,78,5,11.41,MX,1589678226
Tiksi,71.69,128.87,26.91,98,100,7.29,RU,1589678053
Lagoa,39.05,-27.98,63.05,91,100,12.5,PT,1589678128
Mahébourg,-20.41,57.7,69.8,94,20,4.7,MU,1589678227
Ligayan,4.65,119.47,85.24,77,99,10.04,PH,1589678227
Forsytheganj,52.63,29.73,40.68,93,0,7.85,BY,1589678227
George Town,5.41,100.34,79.27,94,20,4.7,MY,1589678146
Bubaque,11.28,-15.83,79.41,75,14,12.82,GW,1589678228
Moerai,-22.43,-151.33,79.9,82,4,23.24,PF,1589678228
Castro,-24.79,-50.01,51.71,56,0,0.31,BR,1589678021
Frederikshavn,57.44,10.54,43.0,80,100,8.01,DK,1589678229
Severo-Kuril'sk,50.68,156.12,35.74,92,100,17.13,RU,1589678229
Buraidah,26.33,43.98,75.2,36,0,2.24,SA,1589678229
Inhambane,-23.86,35.38,68.83,77,0,10.02,MZ,1589678230
Ust-Nera,64.57,143.2,43.7,61,71,5.75,RU,1589678230
Tuatapere,-46.13,167.68,56.39,61,0,0.58,NZ,1589678230
Tasiilaq,65.61,-37.64,35.6,69,66,9.17,GL,1589678230
Itoman,26.12,127.67,82.27,88,75,14.99,JP,1589678231
Iranshahr,27.2,60.68,78.8,39,0,4.05,IR,1589678231
Mastic Beach,40.77,-72.85,60.89,63,1,8.23,US,1589678231
Alofi,-19.06,-169.92,80.6,74,100,6.93,NU,1589678231
Marawi,8.0,124.29,84.99,79,72,4.0,PH,1589678231
Ponta do Sol,32.67,-17.1,60.57,59,75,5.82,PT,1589678232
Bathsheba,13.22,-59.52,82.4,74,20,23.04,BB,1589678232
East London,-33.02,27.91,59.11,50,22,7.27,ZA,1589678232
Tautira,-17.73,-149.15,87.8,70,40,11.41,PF,1589678232
Liverpool,53.41,-2.98,51.31,71,89,5.82,GB,1589678044
Carnarvon,-24.87,113.63,73.38,21,58,12.41,AU,1589678233
Pevek,69.7,170.31,34.23,90,0,4.21,RU,1589678034
Burgeo,47.62,-57.62,40.98,76,98,4.05,CA,1589678233
Rundu,-17.93,19.77,57.2,41,0,3.36,NA,1589678234
Petatlán,17.52,-101.27,84.2,66,40,1.72,MX,1589678234
Pisco,-13.7,-76.22,64.4,88,1,10.29,PE,1589678234
Øksfjord,70.24,22.35,34.86,80,75,6.93,NO,1589678234
Otradnoye,59.78,30.82,38.39,80,75,8.95,RU,1589678235
Padang,-0.95,100.35,82.72,75,100,3.94,ID,1589678050
Yellowknife,62.46,-114.35,32.0,74,75,14.99,CA,1589678041
Debre Sīna,9.85,39.77,53.51,84,100,4.07,ET,1589678235
Acapulco de Juárez,16.86,-99.89,86.0,62,20,10.29,MX,1589678089
Chui,-33.7,-53.46,62.67,70,0,13.18,UY,1589678068
Dingle,11.0,122.67,87.8,67,35,1.39,PH,1589678236
Varde,55.62,8.48,48.56,87,81,16.11,DK,1589678236
Provideniya,64.38,-173.3,42.22,62,100,5.46,RU,1589678236
Lālmohan,22.34,90.74,85.5,77,33,8.97,BD,1589678237
Flinders,-34.58,150.86,64.47,68,25,3.36,AU,1589678237
Grand Gaube,-20.01,57.66,72.0,82,0,3.0,MU,1589678237
Collierville,35.04,-89.66,77.5,73,75,7.67,US,1589678237
Anadyr,64.75,177.48,39.09,64,82,6.71,RU,1589678238
Hambantota,6.12,81.12,80.6,94,75,6.93,LK,1589678238
Stornoway,58.21,-6.39,48.52,93,100,9.17,GB,1589678180
Olafsvik,64.89,-23.71,39.45,74,40,18.39,IS,1589677953
Sitka,57.05,-135.33,60.8,59,75,10.29,US,1589678152
‘Āhuimanu,21.44,-157.84,82.2,58,40,11.41,US,1589678239
Saint-Philippe,-21.36,55.77,67.5,78,75,6.93,RE,1589678239
Esil,51.96,66.4,58.17,81,63,11.23,KZ,1589678239
Edgewater,28.99,-80.9,72.25,100,90,11.41,US,1589678239
Hualmay,-11.1,-77.61,65.73,80,25,6.96,PE,1589678018
Bako,5.78,36.57,62.08,97,49,4.07,ET,1589678240
Vardø,70.37,31.11,33.08,96,100,5.06,NO,1589678240
Barrow,71.29,-156.79,26.6,79,90,9.17,US,1589678154
Cukai,4.25,103.42,78.4,100,20,2.59,MY,1589678241
Trairi,-3.28,-39.27,75.6,93,100,2.51,BR,1589678241
Ribeira Grande,38.52,-28.7,63.12,92,100,8.23,PT,1589678046
Polunochnoye,60.87,60.42,44.2,86,72,3.74,RU,1589678241
Svetlaya,46.54,138.33,43.32,79,93,8.05,RU,1589678242
San Luis,-33.3,-66.34,61.11,32,0,5.86,AR,1589678242
Berdigestyakh,62.1,126.7,66.33,40,95,0.47,RU,1589678242
Salinas,36.68,-121.66,68.23,49,1,12.75,US,1589678223
Arrondissement de Saint-Denis,48.92,2.33,49.86,76,0,3.36,FR,1589678243
Magdalena,14.2,121.43,86.54,74,20,6.93,PH,1589678243
Coquimbo,-29.95,-71.34,55.4,93,40,6.93,CL,1589678186
Baykit,61.67,96.37,46.06,65,100,5.46,RU,1589678243
Arona,28.1,-16.68,60.51,55,75,11.41,ES,1589678243
Saldanha,-33.01,17.94,48.2,81,0,3.36,ZA,1589678061
Puerto Madryn,-42.77,-65.04,60.01,34,68,17.25,AR,1589678244
Kyrylivka,46.38,35.37,54.64,65,81,3.83,UA,1589678244
Vostok,46.49,135.88,53.28,75,92,4.29,RU,1589678245
Ossora,59.24,163.07,33.57,96,100,3.98,RU,1589678245
Marsá Maţrūḩ,31.35,27.25,66.2,88,0,9.01,EG,1589678245
Mabaruma,8.2,-59.78,76.1,94,100,3.78,GY,1589678245
Thompson,55.74,-97.86,55.4,30,75,5.82,CA,1589678142
Hay River,60.82,-115.8,42.8,41,75,8.05,CA,1589678246
Prince Rupert,54.32,-130.32,60.8,63,1,5.82,CA,1589678246
São Marcos,-28.97,-51.07,54.0,52,0,1.88,BR,1589678246
Kemijärvi,66.71,27.43,28.04,97,94,3.13,FI,1589678246
Mago,53.25,140.18,47.41,53,0,9.95,RU,1589678247
Sabang,5.89,95.32,79.2,87,100,11.07,ID,1589678247
La Ronge,55.1,-105.28,59.0,62,75,5.82,CA,1589678247
La Asuncion,11.03,-63.86,82.4,78,62,23.04,VE,1589678248
Owando,-0.48,15.9,74.19,82,96,0.69,CG,1589678248
Praia da Vitória,38.73,-27.07,66.2,88,40,15.43,PT,1589678248
Salé,34.04,-6.82,56.79,93,20,8.05,MA,1589678027
Laas,46.62,10.7,46.4,100,90,4.7,IT,1589678123
Tazovsky,67.47,78.7,34.61,99,100,2.51,RU,1589678249
Asău,46.43,26.4,46.99,83,6,2.28,RO,1589678249
Varkala,8.73,76.71,84.2,83,40,3.36,IN,1589678249
Sydney,-33.87,151.21,64.38,63,40,6.93,AU,1589678250
Kununurra,-15.77,128.73,82.4,28,92,14.99,AU,1589678054
Road Town,18.42,-64.62,80.67,85,39,15.01,VG,1589677966
Port Hardy,50.7,-127.42,53.6,87,90,14.99,CA,1589678142
Vila Velha,-20.33,-40.29,68.54,100,90,2.24,BR,1589678037
Poronaysk,49.22,143.12,43.93,63,90,11.27,RU,1589678251
Bilibino,68.05,166.44,37.27,72,0,7.87,RU,1589678251
Gornyatskiy,48.29,40.96,42.4,82,0,7.7,RU,1589678251
Verkhoyansk,67.54,133.38,40.1,72,100,3.27,RU,1589678251
Tomatlán,19.93,-105.25,79.56,46,0,4.72,MX,1589678252
Waingapu,-9.66,120.26,83.08,75,38,16.58,ID,1589678252
Cayenne,4.93,-52.33,80.6,83,75,3.36,GF,1589678090
Sisimiut,66.94,-53.67,41.43,69,4,14.92,GL,1589678252
La Roda,39.22,-2.15,50.9,93,94,2.24,ES,1589678253
Isangel,-19.55,169.27,77.0,69,73,11.41,VU,1589678253
North Bend,43.41,-124.22,59.27,82,75,10.29,US,1589678253
Meulaboh,4.14,96.13,75.7,95,100,6.6,ID,1589678253
Klaksvík,62.23,-6.59,39.2,80,100,16.11,FO,1589678254
Vershino-Darasunskiy,52.35,115.52,57.85,70,6,5.39,RU,1589678254
Mkushi,-13.62,29.39,53.33,75,0,5.35,ZM,1589678254
Portland,45.52,-122.68,62.92,68,90,10.51,US,1589678110
Tiarei,-17.53,-149.33,87.8,70,40,11.41,PF,1589678012
São Félix do Xingu,-6.64,-51.99,73.44,94,100,1.59,BR,1589678255
Gorin,51.2,136.67,51.94,45,1,9.26,RU,1589678255
Massakory,13.0,15.73,85.73,13,0,10.27,TD,1589678255
Nanortalik,60.14,-45.24,39.81,82,100,6.55,GL,1589678092
Margate,51.38,1.39,48.99,77,80,7.25,GB,1589678256
Hutang,31.53,119.48,78.8,88,0,8.95,CN,1589678256
Cuitláhuac,18.82,-96.72,88.56,62,40,6.93,MX,1589678256
Cockburn Town,21.46,-71.14,80.69,80,0,19.19,TC,1589678048
Davila,18.47,120.58,86.0,70,40,13.87,PH,1589678257
Lázaro Cárdenas,17.96,-102.2,79.48,64,23,5.75,MX,1589678257
Jalu,29.03,21.55,78.51,26,0,8.61,LY,1589678136
Krasnyy Chikoy,50.36,108.75,41.92,74,100,2.39,RU,1589678257
Kerrobert,51.92,-109.13,74.16,17,40,27.51,CA,1589678258
Tumaco,1.8,-78.82,78.67,91,100,8.28,CO,1589678258
Port Macquarie,-31.43,152.92,69.01,76,0,1.01,AU,1589678258
Kundiawa,-6.02,144.97,81.32,45,9,0.74,PG,1589678259
Kieta,-6.22,155.63,86.41,68,2,5.19,PG,1589678259
Kahului,20.89,-156.47,79.83,55,40,21.92,US,1589678034
Batagay-Alyta,67.8,130.41,35.28,86,70,1.45,RU,1589678260
Valparaíso,-33.04,-71.63,59.0,82,0,6.93,CL,1589678260
Gillette,44.29,-105.5,50.29,57,1,9.17,US,1589678260
Sicuani,-14.27,-71.23,44.6,67,0,3.44,PE,1589678261
Minas,-34.38,-55.24,68.67,60,0,10.29,UY,1589678261
Cianorte,-23.66,-52.6,55.63,76,0,3.74,BR,1589678261
Yar-Sale,66.83,70.83,34.27,97,100,1.1,RU,1589678261
Ajdabiya,30.76,20.23,80.29,20,0,11.79,LY,1589678208
Kyzyl,51.7,94.45,60.67,65,46,2.98,RU,1589678262
Matsusaka,34.57,136.53,73.35,73,20,9.17,JP,1589678262
Geraldton,-28.77,114.6,60.8,51,33,3.36,AU,1589678263
Kyra,49.58,111.98,48.94,69,100,9.6,RU,1589678263
Haddington,55.96,-2.78,48.7,81,100,3.0,GB,1589678191
Diu,20.71,70.98,80.04,83,0,13.0,IN,1589678263
Marabu,4.41,114.01,82.2,94,75,2.24,MY,1589678263
Dikson,73.51,80.55,31.33,97,78,9.42,RU,1589678264
Kruisfontein,-34.0,24.73,51.13,52,0,5.26,ZA,1589678095
Muskegon,43.3,-86.13,63.82,63,75,8.05,US,1589678264
Huarmey,-10.07,-78.15,66.49,80,0,7.09,PE,1589678264
Koutsouras,35.03,25.95,80.01,29,0,14.0,GR,1589678264
Arraial do Cabo,-22.97,-42.03,72.81,77,26,11.45,BR,1589678265
Hailin,44.58,129.42,64.36,59,91,4.45,CN,1589678265
Bīrpur,26.52,87.02,84.78,47,0,8.75,IN,1589678266
Kashgar,39.45,75.98,57.2,54,20,15.66,CN,1589678266
Jackson,42.42,-122.83,57.72,82,75,9.17,US,1589677968
Sheregesh,52.92,87.99,60.26,69,0,3.58,RU,1589678266
Chihuahua,28.5,-106.0,89.28,9,5,9.17,MX,1589678118
La Macarena,2.18,-73.78,72.68,96,100,2.48,CO,1589678267
Zhenhaicun,24.26,118.09,84.2,74,77,4.47,CN,1589678267
Caningay,9.83,122.64,85.5,68,10,3.89,PH,1589678267
Aleksandriyskaya,44.23,43.35,50.0,87,90,11.18,RU,1589678267
Leningradskiy,69.38,178.42,30.04,97,100,5.1,RU,1589678268
Zomin,39.96,68.4,58.12,56,77,5.06,UZ,1589678268
Port Elizabeth,-33.92,25.57,46.4,100,6,3.36,ZA,1589678073
Del Rio,29.36,-100.9,89.85,38,1,6.93,US,1589678155
Makkah al Mukarramah,21.43,39.83,87.89,33,0,0.34,SA,1589678062
Lethem,3.38,-59.8,80.47,75,97,5.7,GY,1589678269
Mount Isa,-20.73,139.5,78.8,24,0,12.75,AU,1589678269
Katsuura,35.13,140.3,73.38,73,40,6.93,JP,1589678269
Rawson,-43.3,-65.1,58.21,38,27,15.55,AR,1589678122
Sri Aman,1.24,111.46,78.4,94,75,2.24,MY,1589678270
Caravelas,-17.71,-39.25,73.81,92,100,9.91,BR,1589678270
Thinadhoo,0.53,72.93,85.19,74,83,18.84,MV,1589678270
Kenai,60.55,-151.26,50.92,66,1,17.22,US,1589678271
Yangi Marg`ilon,40.43,71.72,51.8,81,0,6.93,UZ,1589678060
Mikuni,36.22,136.15,62.6,93,90,8.05,JP,1589678271
Virginia Beach,36.85,-75.98,70.47,68,40,5.82,US,1589678059
Sertã,39.81,-8.1,54.46,93,0,3.51,PT,1589678271
Aberdare,51.71,-3.45,46.29,88,41,3.29,GB,1589678272
Prykolotne,50.16,37.35,45.36,93,68,7.4,UA,1589678272
Troitskoye,52.98,84.68,63.88,62,2,3.83,RU,1589678272
Los Llanos de Aridane,28.66,-17.92,61.23,59,90,12.75,ES,1589678272
São João da Barra,-21.64,-41.05,69.08,87,100,2.17,BR,1589678272
Nantucket,41.28,-70.1,48.63,87,1,8.05,US,1589678121
Najrān,17.49,44.13,77.0,27,51,2.26,SA,1589678273
Sobolevo,54.43,31.9,40.06,93,0,10.36,RU,1589678273
Omboué,-1.57,9.26,79.0,92,98,5.84,GA,1589678132
Marau,-28.45,-52.2,50.25,79,0,2.42,BR,1589678274
Havøysund,71.0,24.66,33.8,95,100,13.87,NO,1589678274
Fairbanks,64.84,-147.72,54.0,24,1,13.87,US,1589678131
Wangou,42.06,126.91,56.3,90,100,4.25,CN,1589678275
Belyy Yar,53.6,91.39,62.6,67,52,2.24,RU,1589678275
Kuliyapitiya,7.47,80.04,84.2,100,40,2.24,LK,1589678275
Chifeng,42.27,118.96,58.84,29,0,12.17,CN,1589678275
Meadow Lake,34.8,-106.54,79.57,10,40,4.7,US,1589678276
Bulungu,-4.55,18.6,71.19,81,0,2.01,CD,1589678276
Klyuchi,52.27,79.17,67.23,50,91,5.1,RU,1589678276
Sinjār,36.32,41.88,79.75,32,0,8.68,IQ,1589678276
Samarai,-10.62,150.67,80.02,82,100,14.34,PG,1589678276
Talnakh,69.49,88.4,37.4,93,75,17.9,RU,1589678277
Kaitangata,-46.28,169.85,53.83,62,0,3.06,NZ,1589678277
Fortuna,40.6,-124.16,59.54,87,90,12.75,US,1589678019
Omsukchan,62.53,155.8,34.3,90,100,8.08,RU,1589678277
Takoradze,4.88,-1.76,80.96,86,5,8.39,GH,1589678277
Skellefteå,64.75,20.95,32.0,91,90,3.36,SE,1589678278
Porteirinha,-15.74,-43.03,69.85,88,100,4.21,BR,1589678278
Erenhot,43.65,111.98,43.75,61,98,16.24,CN,1589678278
Hailar,49.2,119.7,60.6,37,99,22.53,CN,1589678278
Mudgee,-32.59,149.59,58.32,76,0,9.17,AU,1589678048
Tura,25.52,90.22,76.91,88,0,1.63,IN,1589678279
Coyhaique,-45.58,-72.07,44.6,87,75,3.36,CL,1589678016
Ilo,-17.64,-71.34,63.07,79,74,2.01,PE,1589678279
Huntington,38.42,-82.45,68.5,94,75,4.32,US,1589678067
Ngaoundéré,7.32,13.58,65.88,86,100,3.58,CM,1589678280
Hobyo,5.35,48.53,82.27,76,0,23.17,SO,1589678280
Khairpur Nathan Shah,27.09,67.73,87.51,25,75,1.52,PK,1589678280
Katangli,51.71,143.23,39.6,73,9,17.13,RU,1589678281
Esso,55.93,158.7,34.86,86,95,3.71,RU,1589678281
Rumphi,-11.02,33.86,56.07,62,0,3.33,MW,1589678281
Pitimbu,-7.47,-34.81,77.0,100,75,4.7,BR,1589678281
Shūshtar,32.05,48.86,85.96,14,0,5.86,IR,1589678281
Kidal,18.44,1.41,87.26,14,0,16.78,ML,1589678282
Dandong,40.13,124.39,58.6,92,100,8.16,CN,1589678282
Lebedyn,50.59,34.48,45.63,89,78,6.04,UA,1589678282
Black River,18.03,-77.85,84.13,66,20,5.82,JM,1589678283
Faanui,-16.48,-151.75,82.09,74,19,7.65,PF,1589678283
Yichang,30.71,111.28,83.41,49,6,3.94,CN,1589678283
Shunyi,40.12,116.65,67.91,29,45,2.24,CN,1589678284
São Filipe,14.9,-24.5,72.57,81,5,7.61,CV,1589678284
Moranbah,-22.0,148.05,70.83,61,100,19.93,AU,1589678284
Oulu,65.01,25.47,33.53,86,100,4.7,FI,1589677996
Puerto Cabezas,14.04,-83.39,80.56,82,20,6.44,NI,1589678285
Souillac,-20.52,57.52,69.8,94,20,4.7,MU,1589678285
Pitmoaga,12.24,-1.88,91.4,43,45,12.75,BF,1589678286
Santa Marta,11.24,-74.2,84.0,78,100,12.35,CO,1589678245
Alice Springs,-23.7,133.88,59.0,33,0,11.41,AU,1589678286
Antalaha,-14.9,50.28,72.9,84,1,6.4,MG,1589678286
Dzhida,50.68,106.18,49.96,45,0,4.21,RU,1589678287
Arlit,18.74,7.39,88.88,13,85,5.86,NE,1589678088
Port Lincoln,-34.73,135.87,60.73,48,0,7.09,AU,1589678080
Illapel,-31.63,-71.17,58.55,61,0,0.31,CL,1589678287
Yulara,-25.24,130.99,57.2,33,0,11.41,AU,1589678287
Clyde River,70.47,-68.59,21.2,79,1,8.05,CA,1589678288
Santa Rosalía,27.32,-112.28,79.23,46,0,4.0,MX,1589678288
Beloha,-25.17,45.05,63.34,82,16,7.02,MG,1589678288
Moissac,44.1,1.09,54.19,81,16,3.36,FR,1589678288
Arman',59.7,150.17,44.31,61,100,4.23,RU,1589678027
Hamada,34.88,132.08,66.2,93,75,6.93,JP,1589678289
Sharan,54.82,54.0,42.06,81,88,3.53,RU,1589678289
Yamada,39.47,141.95,57.47,87,98,6.82,JP,1589678290
Dannenberg,53.1,11.09,46.92,72,87,4.0,DE,1589678290
Karagach,43.81,43.77,50.0,93,75,6.71,RU,1589678290
North Platte,41.12,-100.77,61.45,55,1,16.11,US,1589678290
Livingston,55.9,-3.52,48.7,81,20,10.29,GB,1589678291
Mitsamiouli,-11.38,43.28,79.32,71,1,19.6,KM,1589678291
Synya,65.37,58.04,36.55,82,100,4.07,RU,1589678291
Sampit,-2.53,112.95,81.66,92,85,3.27,ID,1589678291
Charters Towers,-20.1,146.27,73.87,55,100,13.13,AU,1589678015
Naryan-Mar,67.67,53.09,39.61,73,100,7.63,RU,1589678292
Borogontsy,62.67,131.17,59.67,44,0,5.26,RU,1589678292
Ifakara,-8.13,36.68,68.04,75,45,3.53,TZ,1589678292
Korla,41.76,86.15,79.57,17,100,14.03,CN,1589678292
Kushima,31.46,131.23,73.49,78,75,9.17,JP,1589678293
Hasaki,35.73,140.83,75.16,73,20,4.7,JP,1589678293
Whitehorse,60.72,-135.05,48.54,70,75,17.22,CA,1589678037
Freeport,40.66,-73.58,62.15,55,1,6.93,US,1589678085
Jutaí,-5.18,-68.9,72.07,95,18,1.01,BR,1589678294
Linden,6.0,-58.3,80.6,88,40,9.17,GY,1589678294
Jashpurnagar,22.9,84.15,83.01,30,22,2.21,IN,1589678193
Taunggyi,20.78,97.03,74.98,50,33,4.52,MM,1589678294
Mēga,4.05,38.3,56.1,100,5,8.19,ET,1589678165
Kikwit,-5.04,18.82,71.92,76,0,2.28,CD,1589678295
Dwārka,22.24,68.97,80.98,81,0,19.06,IN,1589678031
Saint-Pierre,-21.34,55.48,68.27,78,75,6.93,RE,1589678295
Nacala,-14.54,40.67,68.65,76,14,9.69,MZ,1589678296
Priargunsk,50.37,119.1,63.28,35,1,15.86,RU,1589678296
Naze,28.37,129.48,77.0,100,75,12.75,JP,1589678296
Dunedin,-45.87,170.5,55.54,47,0,0.94,NZ,1589678296
Lensk,60.73,114.93,46.81,91,100,4.85,RU,1589678297
Verkhnyaya Inta,65.98,60.31,32.83,92,100,6.24,RU,1589678297
Lüderitz,-26.65,15.16,69.8,28,0,4.7,NA,1589678147
Payo,-3.75,103.64,79.84,81,69,0.96,ID,1589678297
Quatre Cocos,-20.21,57.76,70.93,94,20,4.7,MU,1589678298
Araouane,18.9,-3.53,85.59,15,0,11.05,ML,1589678298
Rome,43.21,-75.46,54.21,66,1,5.82,US,1589678298
Noblesville,40.05,-86.01,71.62,73,100,1.01,US,1589678299
Zyryanka,65.75,150.85,41.99,74,100,10.25,RU,1589678299
San Rafael,-34.62,-68.33,66.18,28,0,7.49,AR,1589678299
La Santisima Trinidad,-14.83,-64.9,67.42,74,13,3.38,BO,1589678299
